,PRODUCTCODE,pdt_inclexcl_ENG_CONTENT,pdt_product_detail_PRODUCTDESCRIPTION,pdt_inclexcl_ENG_CONTENT_lang
16936,57940P10,Licensed guide; Gratuities ,"Sun and Weds 2:30 pm
• Uncover the untold stories behind the history of Central Park
• Encounter and hear about locations and interesting objects 
 throughout the park
• Gain hidden knowledge about Central Park with a local insider
• A great tour for locals and visitors

Discover hidden knowledge behind the obvious in the park. This adventurous walking tour series “Secrets of Central Park” explores the stories unknown behind many locations, enhancements, and objects. Three different 2-hour walking tours enjoy three locations in Central Park daily. The South, Middle Kingdom, and Northern Secrets of Central Park Tours explore each section individually.

Our Middle Kingdom Secrets Walking Tour (Mon, Fri & Sunday) explores the midsection of Central Park as we recount the battle of Grunwald in 1410, find the secret cave and learn who was in the Turtle Pond before the turtles. Come on this tour and find out!

Approximately 2 hours and 2+ miles (3.2k)
Available as a private or group tour​",af
16986,58873P1,Tour guide,"If you want to know Barcelona in a different way, with VR and AR, with smartglasses and traveling to the past, Past View Barcelona is your opportunity",fr
16989,58946P1,none,"Create your own piece of art. Join us for a painting class in our hip and casual studio. No painting experience is required, we will guide you step-by-step in creating the featured painting of the night, which could be a landscape, cactus, flowers, La Sagrada Familia, beach scene or something else from our gallery. Although we will all be painting the featured painting, we encourage you to be creative and make the painting your own. You'll meet people from Barcelona and all over the world and leave with your finished painting ready to hang on your wall. All materials, 3 hours of instruction and snacks are included in the price. You can purchase beer for 1,00€ and wine for 1,50€ a glass or 5,00€ a bottle.",it
16995,59104P42,Audioguided,"Building

The Musée d'Orsay is located in an old train station that was inaugurated in 1900 on the occasion of the World Exhibition in Paris. The station had a high traffic of trains until 1939.

Since the end of the Second World War the station was left in neglect and in 1960 it was planned to demolish it.

It was in 1977 when the station got rid of its fatal fate thanks to the transformation of the building into a museum, which was inaugurated in 1986.

At present the building still retains the old charm of the train station that it housed in the past.",et
17070,60672P103,"Louvre Mouseum ticket; Guided visit; Local, certified guide","Fast track your entry with our Skip the line and discover with the help of our guide the museum's many treasures.
You will save time at the entrance to the museum thanks to your Skip the line before visiting the Louvre with your guide. Going from room to room, you can admire the museum’s most beautiful works, listen to the true story of the ""Raft of the Medusa"" by Theodore Gericault or even admire Napoleon’s former living quarters. After your 2 hour guided visit, you can continue on to explore the rest of the museum at your own pace.

",fr
17092,61458P6,Personalized Diploma / Recipe card,"This unique class is the only private chocolate-making experience open to families in Paris! Experience a professional lab with content and instruction that has been tailored to suit the needs and ages of your children. Much more than a demo, every member of the family will get to participate and learn real skills that can be repeated at home to create all sorts of fun chocolate items. 
As this is a private activity, we are also happy to accommodate any food allergies or other needs. ",it
17126,6159P29,Gratuities,"Embark on a delightful 2-hour family-friendly pastry tour in the heart of Paris! Uncover the art of crafting scrumptious croissants, chocolate croissants, madeleines, brioche, and more. 
Engage in a hands-on baking experience suitable for all ages. Not only will you learn the secrets of French pastry making, but you’ll also proudly leave with your delectable creations from the day—a sweet souvenir to savor the memories.",af
17285,63197P1,"Les ingrédients, le cours par le chef, la recette étape par étape et les boissons (thé, café, eau) sont incluses.; Boissons alcoolisées et jus de fruits.","When you come to L'Atelier Cuisine AD for a cooking lesson, you don't look, you are hands-on from start to finish, and will not only live a nice moment, but also develop many technical skills (preparation, cooking, plating, decorating...). You will taste on the spot the dessert prepared by the chef, but will be pleased to come back home or to your hotel with what you just prepared. ",fr
17389,6388P6,Entrance,"Exciting tribute to Michael Jackson, Prince and James Brown by Alex Dree, Dabeat and Michel Clavero. The majesty of the Palau and its exceptional acoustics create the perfect setting for a night full of emotion and nostalgia.",es
17395,6390P14,Tour Guide; Drinks; Gratuities,"Join us on our amazing New York Skyline Night Tour to appreciate the thousand night lights of the Big Apple. This tour is designed to leave you breathless and allow you to take unforgettable photos.

The evening tour starts at 6:30 pm with your Urban Explorer through which you cross Manhattan to one of the most famous sights in New York: Brooklyn Heights. After taking amazing photos of the Manhattan Skyline and seeing the Brooklyn Bridge up close, you continue to New Jersey and take a brief stop to taste a typical slice of American cheese pizza in Hoboken. Then you arrive at the famous Hamilton Park, the highest point in New Jersey, for an unforgettable view among the thousand lights of New York! Remember: the tour is suitable for all ages and ends around 10.30pm near Times Square.",af
